,tag,text
0,eat,"- Сарочка, я смотрю, ты забросила мою любимую диету. Что случилось?- Я таки  почувствовала, тётя Циля, что когда сильно худеешь, то хорошего человека становится всё меньше, а остаётся только плохой!"
1,eat,"- Фима, зачем ты взял новый пакетик чая? - На старом уже ниточка оборвалась. - А что такое, рук нету пришить?"
2,eat,"Я толстая лишь потому, что во мне живут сразу несколько принцесс."
3,eat,– Существуют ли таблетки от голода?– Да! Котлеты!
4,eat,"Стояли два гриба: мухомор и белый. Идет грибник.– Эх, – вздыхает белый, – сейчас резня начнется.– Не знаю, как резня, а сапогом по морде я точно получу!"
5,eat,"- Больная, вам срочно надо похудеть.- Доктор,  но у меня такая конституция.- Конституция у нас одна,  просто вы жрете много."
6,eat,– Пора худеть.– Еще 5 минут.
7,eat,"... И стали они жить-поживать, да бока нажирать..."
8,eat,"- Мне больше нечего терять! - Ну, Люся, смотри сама. Я бы на твоём месте всё же несколько килограммчиков потерял бы..."
9,eat,Сброшенные в спортзале килограммы терпеливо ждали меня в холодильнике...
10,eat,Месяц сижу на диете. Сегодня случайно язык прикусила. Очень вкусно!
11,eat,"Едут в поезде хохол и русский. Решили в дурака поиграть, а карт нет. Решили играть тем, у кого что есть. Хохол сало достал, ну а русский буханку черного хлеба. Хохол отрезает шмат, кладет, говорит: ""Туз"". ...-->>"
12,eat,"– А это моё фирменное блюдо!– Это же просто кусок хлеба, по которому размазан кетчуп.– Я предпочитаю называть это ""моим фирменным блюдом""."
13,eat,"Хотел сделать впечатляющее фото ДО, чтобы похудеть и сделать впечатляющее фото ПОСЛЕ. Но пока что регулярно делаю всё более впечатляющее ДО."
14,eat,"Вчера встала на весы... Всё, пиз@ец... больше не буду вставать на весы... нету больше весов... раздавила нах@й."
15,eat,"Тётя Сима зашла в гастроном, подошла к мясному отделу и остановилась в задумчивости и нерешительности.К ней подошёл продавец и спрашивает: - Женщина, что-то будете брать? - Да, 7 килограммов мяса. - Вам вырезки взвесить или с косточкой? - Нет, нет, вырезки.Продавец начал выкладывать мясо на весы. - Ну вот, смотрите.Тётя Сима отошла от прилавка и внимательно смотрит на эту груду мяса.Продавец спрашивает: - Так что, гражданочка, брать будете? - Да нет, я так. Я просто тут поправилась на 7 килограммов и хотела посмотреть, сколько это."
16,eat,"Ситуация в балетной школе.– После шести есть нельзя. Вот ты, девочка, сколько тебе лет?– Шесть.– Всё, не ешь."
17,eat,"Мысли о том, что надо бы сесть на диету, приходят обычно после сытного обеда и исчезают за полчаса до ужина..."
18,eat,Воду из крана пить нельзя — грязная.Но фрукты надо мыть водой из крана — будут чистые.
19,eat,"– Доченька, ты 5 ложек сахара положила, ты что, влюбилась?– Нет, мам, просто я сладкий чай люблю.– Ты 5 столовых ложек сахара положила.– Я очень сладкий чай люблю.– Дочь, ты их в суп положила."
20,eat,"– Дорогой, мне не спалось ночью и я решила помыть холодильник. И тут на меня напали!– Кто?!– Палка колбасы, торт и пирожные!"
21,eat,1) Фоткаешь фигуру2) Дичайше жрешь полгода3) Фоткаешь еще раз4) Меняешь до и после местами5) Постишь6) Собираешь лайки7) Даёшь советы
22,eat,"- Что ты делаешь, чтобы живот был плоским?- Ем.- ???- Иначе впалый..."
23,eat,"Приходит гурман в ресторан и просит приготовить ""курочку по-тайски"". Ему приносят курочку. Гурман засовывает пальчик курочке в попку, ковыряется, нюхает его и говорит: - Э не-е-ет, это не по-тайски. Это по-пекински. ...-->>"
24,eat,"Животных, которых мало, записывают в Красную книгу, а животных, которых много - в книгу о вкусной и здоровой пище."
25,eat,– Вам не трудно сделать мне кофе с пенкой?– Да раз плюнуть.
26,eat,"- Чего бы такого погрызть, от чего не толстеют? - Ногти."
27,eat,– Скажи хлеб!– Хлеб…– Мягче!– Хлэб…– Мягче.– Хлэп…– Еще мягче!– Буличка.
28,eat,"Только от одной мысли, что ты на диете, безумно хочется жрать!"
29,eat,ПЕРВЫЙ ДЕНЬ ДИЕТЫ. Я избавился от всей вредной еды в холодильнике. Это было очень вкусно.
30,eat,"Изучил состав любимых сосисок, котлет и  колбасы. Оказалось, что я страстный вегетарианец."
31,eat,"К одной старой еврейке, торговавшей редиской на Привозе по 10 рублей за пучок, каждый день подходит один и тот же молодой человек, оставляет ей десятку, но редиску не берет. И вот однажды, когда он в очередной раз отстегнул бабке чирик, та хватает его за руку.Молодой человек говорит:– Я так понял, Вам интересно, почему я оставляю Вам деньги, но ничего не беру?– Нет, это меня как раз не интересует. Просто с сегодняшнего дня редиска стоит 15 рублей."
32,eat,– Зачем человеку 12 метров кишечника?– Чтобы ж*пу горячим супом не обжечь.
33,eat,"Когда, наконец, до многих девушек дойдёт - излишняя худоба показывает, что организму не достаёт или питания, или здоровья, или мозгов. Плакать хочется от этих девочек с фигурой зубочистки."
34,eat,"Муж приходит домой поздно, жена спит, на столе записка:""Еда на завтра в холодильнике.Перед сном ничего не ешь!Я пересчитала все котлеты.И макароны!"""
35,eat,"– Вы, наверное, получили наследство и теперь шикуете!– И почему вы так думаете?– Таки, на столе у вас икра!– Да, но она – баклажанная. . .– Да, но, таки, целая сковородка!"
36,eat,"Мама на кухне крутит фарш. Дочь: - Мама, это Вася! Он будет жить с нами!...Мама, не отрываясь от мясорубки: - Хорошо! А то от Коли ниче не осталось..."
37,eat,"Очень полная женщина, желая похудеть, решила соблюдать диету.Через две недели она взвесилась и, убедившись, что её вес нисколько не уменьшился, говорит мужу: - Дорогой, не расстраивайся! Пусть лучше у тебя будет толстая и весёлая жена, чем худая и ворчливая. - И сколько же килограммов тебе надо ещё прибавить, чтобы ты стала весёлой?"
38,eat,"На курсах кулинарии разговаривают две домохозяйки:- Представляешь, мой муж за полгода похудел на 9 килограммов!- Ох! Стыдоба-то какая!"
39,eat,"С помощью китайского препарата ""Ю-шу"" я за неделю похудела на 20 килограммов.Если меня кто-нибудь ещё видит, добейте, пожалуйста..."
40,eat,"Из дневника толстой школьницы:""Сегодня на уроке физкультуры сдавали прыжок в длину. Я прыгнула хуже всех, но физрук всё равно поставил мне пять баллов... по шкале Рихтера""."
41,eat,"Перед тем как устроить себе разгрузочный день, надо организовать загрузочный. Иначе разгружать будет нечего."
42,eat,Я слежу за своей фигурой... Она по ночам ходит к холодильнику.
43,eat,"Десять признаков того, что тебе пора похудеть:1. Тебе начал жать под мышками и в талии твой автомобиль.2. Бабушка в последний твой визит посмотрела на тебя и поставила блинчики с мясом обратно в холодильник.3. Во время секса ты закрываешь глаза и представляешь вместо себя кого-нибудь другого.4. Ты запыхался, просто намазав батон майонезом.5. Старушки в косынках постоянно просят у тебя благословения.6. В гостиницах вместо шоколадки тебе оставляют на кровати скакалку.7. При ходьбе ты начинаешь останавливаться раньше положенного срока, чтобы инерция не сыграла с тобой злую шутку.8. В складках живота ты нашёл бубнового туза и старый пульт от видика.9. Твой обруч тебе в пору.10. Ты не первый год работаешь в ГИБДД."
44,eat,– Приготовь мне пожрать!– Будь романтичнее.– Приготовь мне пожрать под дождем.
45,eat,"- Они же низкокалорийные! - успокаивала я себя, доедая тридцать шестой ролл..."
46,eat,"У мужика на поле стали пропадать арбузы. Тогда он повесил табличку:– В одном из арбузов крысиный яд!Приходит – все арбузы целы, а на табличке приписка:– Теперь в двух!"
47,eat,Урюпинские учёные сравнили состав бактерий в йогурте и под ободком унитаза и пришли к выводу: на унитазе сидеть полезнее.
48,eat,"Не слушай других, девочка. Ты самая красивая. В своей весовой категории."
49,eat,"– Вчера съел 300 Сникерсов, что делать?– Сделай паузу, съешь Твикс."
50,eat,"Из-за того, что завтра сяду на диету, каждый день ем как в последний раз."
51,eat,"Британские ученые доказали, что ""жаворонки"" едят меньше ""сов"". Естественно, когда ""жаворонок"" открывает холодильник, то сразу становится понятно, что ""совы"" всё ночью сожрали."
52,eat,"- А Вы молитесь перед едой? - Нет, моя жена нормально готовит."
53,eat,"Вода – это необходимое для жизни вещество. И действительно, без нее невозможно приготовить кофе!"
54,eat,"Я поняла, что уже пора заканчивать с диетой, когда реакция на насекомое, выбегающее из салата, стала не ""Фу-у, ну что за гадость?!"", а ""Куда???!!!"""
55,eat,—  Когда ты меня на чай пригласишь? —  Свой пей.
56,eat,"В магазине:- Отвесьте мне, пожалуйста, 49 грамм вареной колбасы!- Да давайте уж 50!- А, давайте! Гулять, так гулять!!!"
57,eat,"Вчера купил просроченные пельмени - минусы на лицо, но есть и плюс - дочитал ""Войну и мир""."
58,eat,"Если посуду не мыть после еды, рано или поздно начинаешь её мыть до еды."
59,eat,Бросил любимый? Невыносимо больно? Все мысли о нём одном? Выход есть!Сядь на очень строгую диету - и всё! Теперь ты целый день думаешь только о еде!
60,eat,"- Вини, а Вини! Вот говорят - собачий холод, собачий холод... А есть  такое понятие, как свинячий холод?  - Да, Пятачок, такое понятие есть, кстати, очень неплохая вещь - ""холодец""."
61,eat,"- О, Боже, почему мир так жесток, почему самые прекрасные создания этого мира могут так больно жалить? - Что с тобой? - Оладушкой обжёгся..."
62,eat,"- Вот ты говоришь, что он скотина. А в чём это выражается?- Сидели  мы как-то у него допоздна. Долго-долго. И вот вдруг он резко спрашивает у  нас: ""Как друзьям можно тонко намекнуть, что пора уходить? А то гуглить лень..."""
63,eat,"В супермаркете:- Земляк, вегетарианство – это не твое, завязывай с этим.- Откуда ты знаешь, что я вегетарианец?- Только что все мужики пялились на длиннющие ноги шикарной блондинки в мини. Ты один - на ветчину в ее корзинке."
64,eat,"Жила в семье слепая девочка. Когда вся семья садилась за стол, девочка ощупывала свою порцию и говорила:  - Опять мне меньше всех досталось. Думаете, что если я слепая, можно меня обманывать? ...-->>"
65,eat,"Супруги за обедом. Муж пытается незаметно спихнуть свою тарелку собаке. Жена это заметив: - Любимый, ты же не хочешь свою еду собаке отдать, правда? - Ласточка моя, ну конечно же нет, только поменяться."
66,eat,"Если бы окорока росли на деревьях, я бы тоже был вегетарианцем."
67,eat,"- Господи, где ты был?! Я вся извелась, обзвонила все морги и больницы...- Вот, возьмите пиццу, с вас 900 рублей."
68,eat,"Вoт мне всeгда интереснo было – ктo опpедeляет, чтo корм для кошек cтaл eще вкуснеe?!"
69,eat,"Смотрю на себя в зеркало и думаю: ""А ведь есть, чёрт возьми, что-то во мне украинское! Хм-м-м... может, сало?.."""
70,eat,"Читая состав конфеты &quot-Чупа-чупс&quot-, понимаешь, что для здоровья лучше съесть палочку, на которой она держится."
71,eat,"99% всех людей, перемыв посуду, оборачиваясь на плиту, думают: ""Блять, ещё и сковородка!"""
72,eat,"—  Скотина, мой за собой посуду!  — Не могу… Копыта мешают!"
73,eat,"По настоянию жены пять минут затягивал горлышко мешка для запекания, чтобы было герметично. Когда все сделал - жена проткнула ножом этот мешок в нескольких местах и поставила в духовку. Где логика?"
74,eat,"Спорят два гриба в лесу. Белый и поганка. Поганка ехидничает: "" Щас грибники тебя срежут, зажарят и съедят"" Белый ему "" Ну не знаю. Меня могут , как обычно и не заметить, а вот ты по е...альнику сапогом получишь точно!!!"
75,eat,"— Что-нибудь хотите, чай, кофе? — А что-нибудь покрепче? — Вот, орехи..."
76,eat,"Решил приготовить мясо в вине. После второй бутылки не понял, что я вообще делаю на кухне."
77,eat,– Слушай! Ты так здорово за неделю похудела!– Да колбаса в холодильнике дверцу изнутри держала!
78,eat,"С кулинарного сайта:– … За это время приготовим начинку. Собираем всё, что есть в холодильнике. У меня в этот раз были: ветчина, брынза, перец болгарский и зелень.– А у меня там мазь Вишневского, огурцы и коробка новокаина! И что теперь делать?!…"
79,eat,"Девушка у диетолога:– Мама считает, что полезно кушать фрукты, овощи, злаки. Папа считает, что полезнее мясо, рыба, молоко. А дед уверяет, что за день надо обязательно бутылочку водки оприходовать. Как быть?– На завтрак и обед, считайте, что прав папа. А на ужин и полдник – что мама.– А дедушкин совет, значит, ерунда?– А сколько ему лет?– 103-ий пошел.– О! И дедушка поделился отличным советом."
80,eat,"– Я не ем после шести!– Сила воли?!– Нет, привычка – шесть порций, и всё!"
81,eat,"– Иди за мной, я покажу тебе мир полный чудес и тайн.– Мы к холодильнику?– Да."
82,eat,– Ты мясо ешь?– Нет.– А рыбу?– Тоже нет.– Вегетарианец?– Бюджетник.
83,eat,"– Чего бы такого погрызть, от чего не толстеют?– Ногти."
84,eat,"– Давай приготовим что-нибудь диетическое, но вкусное?– Например, разрежем арбуз?"
85,eat,– Сейчас приеду к тебе. Заеб*шишь чайку?– Да где же я её тебе найду? Давай заеб*шу голубя хотя бы!?…
86,eat,"– Официант, можно еще немного пожарить этих перепелов?– Разве они плохо прожарены?– Я не знаю, но они у меня салат жрут."
87,eat,"– Чё делаешь?– Решила похудеть. Вчера купила диски с фитнесом.– Ну и как?– Сейчас сижу, ем пирожные – смотрю."
88,eat,"– Я приготовил ромашковый чай.– По-твоему, я нервная? Тебе что-то не нравится?– Нет, просто…– Ой, бл*дь, не беси. Давай свой гр*баный чай."
89,eat,"Муж жене:– Ты пересолила.– Наверное, это потому, что я люблю тебя.– Это ж как надо меня любить, чтобы пересолить торт?!"
90,eat,"Приходит гномик в магазин и обращается к продавщице:– Взвесьте, пожалуйста, 25 грамм сыра.Продавщица (ехидно):– А не обожрешься?– Будешь хамить – попрошу нарезать."
91,eat,"Бабушка уговаривает внука:– Вовочка, надо кушать кашу! Каша – мать наша!Вовочка, раздраженно:– Не хочу кушать я кашу, мать вашу!"
92,eat,"– Сестра, скальпель.– Ты можешь свою сестру хоть раз по-человечески попросить нож передать?"
93,eat,"Жена пишет мужу СМС:– Не успеваю с работы в магазин. Купи курицу к ужину.Спустя некоторое время ей на телефон приходит СМС от мужа:– Целую.Она в шоке – 8 лет в браке, страсть уже прошла, а тут такие слова.Пишет ему ответ:– Милый, очень тебя люблю, нежно целую и т.п.Он:– Дура, бл*н, курицу, спрашиваю, целую брать или окорочок?"
94,eat,"Дама на диете:– Приехала в деревню к тете, а там у нее чеснок. Не сдержалась и наелась.– А что, при диете чеснок нельзя есть?– Так я ж с салом!"
95,eat,"Сидит бабка на базаре, торгует яблоками.– Яблочки, яблочки с Чернобыля!Мужик говорит:– Ты, бабуля, молчи, что они с Чернобыля, кто-же у тебя их возьмет.– Берут, милок, кто начальнику, кто теще!"
96,eat,"– Ты сегодня ела что-нибудь?– А йогурт считается?– Да.– Ну тогда… бутерброды, курицу, печеньки, картошку жареную с котлеточками, пельмени, конфеты, булочки с маком и йогурт."
97,eat,– Что у нас на завтрак?– Я купила пиво.– Хозяюшка ты моя любимая.
98,eat,"– Дорогая, пойдем грешить на кухню.– Ооо, секс на кухне!– Я вообще-то зову тебя котлеты на ночь жрать."
99,eat,Лежат 2 помидора в холодильнике. Один говорит:– Брр… холодно здесь…Второй:– АААА!Говорящий помидор!
100,eat,"– Есть такая поговорка: ""Когда я ем, я глух и нем. ""– Я конечно понимаю, нем, потому что ешь. Но как надо так жрать, чтобы уши закладывало?"
101,eat,"– Я сварила суп, иди ешь.– Из чего?– Из последних сил, бл*ть…"
102,eat,"Сижу на кухне, готовлю настойку. Перемолол хр*н. Обливаясь слезами, тасую его по бутылкам с водкой. Звонок. Трубу поднимает няня. Сначала бубубу, потом ржач. Что такое? Звонила двоюродная сестра жены. Няня передает диалог:– Привет!– Привет…– Как вы? Кто чем занимается?– Я читаю. Виктор Иванович хр*н в бутылку засовывает.Пауза. Потом осторожненько:– И как, лезет?. .– А он его на кусочки режет."
103,eat,"Жена, уходя в магазин, предупредила мужа:– Будешь варить пельмени, кидай их в кастрюлю по одному, чтобы не слиплись!Когда вернулась, злой муж варил шестой пельмень!"
104,eat,"Маленькая девочка в магазине:– У вас есть такая мороженка, вкусненькая, ванильненькая с шоколаденькой, вишенкой и вареньецем?– Нет.– Хуевенько."
105,eat,"– Я вычитала в газете, что за год человек съедает три килограмма соли, – говорит жена мужу за обедом.– Может быть, только не за один раз, – бросает муж в ответ, прихлебывая пересоленный суп."
106,eat,– А у меня живот от вашей колбасы не заболит?– Не успеет.
107,eat,– Я ем салат из помидоров.– Зачем эти извращения. Ешь из тарелки.
108,eat,"– Повар Смит, вы приготовили сегодня исключительный обед.– Неужели, сержант?!– Да, даже меня тошнит от него."
109,eat,Ночной разговор в соц. сети:– Чего не отвечал так долго?– За колбасой ходил.– А чего так поздно?– Нормально. У меня холодильник работает круглосуточно.
110,eat,– Сейчас зайду к тебе в гости. Приготовишь чайку?– Где я тебе ее найду? Давай лучше голубя?
111,eat,"– Я ризотто сделала, будешь?– Чё?– РИЗОТТО, говорю сделала, будешь?– ЧЁ?– Да ничё, проехали…– Жрать есть чё?– Рис.– Давай."
112,eat,"– Дорогая, что у нас на ужин?– Них*ра!– Как и вчера?– Да, сразу на два дня наготовила."
113,eat,"– Бабуль, а чё у тебя грибы подорожали?– Так доллар подорожал, милок.– А ты, бабка, за грибами в Америку ездишь?"
114,eat,"Очень полная дама звонит в фирму по похудению:– Скажите, а ваша фирма действительно гарантирует похудение за короткий срок?– Да.– Дело в том, что мне муж сделал чудесный подарок, а я не могу в него влезть…– Мы гарантируем, что через 2 месяца вы сможете надеть ваше новое платье…– При чем здесь платье?! Муж подарил мне машину!…"
115,eat,– Вау! Натюрморт в 3D Max!– Славик! Закрой холодильник!
116,eat,"– Будешь чай?– А почему бы и нет.– Ну, нет так нет."
117,eat,"Послала сына в магазин.– Купи сметану, а на сдачу купи хлеб.Вернулся без покупок.– А где покупки?– Сметаны не было.– А хлеб?– А где я сдачу возьму?"
118,eat,"– Алло! Привет, Машка! Давно тебя не видел. Чем занимаешься?– Докторскую херачу!– Диссертацию?– Колбасу!"
119,eat,"Обращение к продавцу мясного отдела:– Женщина, у Вас сало есть!– Нету.– А если пощупать?!"
120,eat,"Ларек, торгуют шаурмой. Подходит милиционер, спрашивает:– Ваша шаурма вчера что делала мяукала или гавкала?Ответ:– Документы спрашивала."
121,eat,"Хочу в Индию. Чтобы посмотреть, как на рассвете прекрасные девственницы, приговаривая волшебные мантры, собирают два верхних листочка с чайного дерева. И всё для того, чтобы я пил каждое утро настоящий индийский чай по 1, 5 рубля за пакетик!"
122,eat,"– Как вас зовут?– Это неважно. Можете звать меня мистер Смит.– Хорошо, мистер Смит. Суши и пиво привезут вам в течение часа."
123,eat,"– Дорогой, у меня растет животик, кажется я беременна.– Аха, ну да. Я даже знаю кто отец.– Кто?– Комбинат кондитерских изделий."
124,eat,"– Что, в первую очередь, вы бы взяли с собой на необитаемый остров?– Рогалик.– Зачем?– Бл*н, ты тупой? Кушать!"
125,eat,"Внук подходит к бабушке и говорит:– Бабушка, нас в школе учат говорить только правду, вот я и решил тебе сознаться. В прошлом году я съел банку варенья, а чтоб ты не заметила, я в нее накакал…Дед резко вскакивает со стула и орет на бабку:– Я же тебе говорил, что г*вно, а ты засахарилось, засахарилось…"
126,eat,– А ты держишь дома каких-нибудь животных?– Конечно. У меня есть варёная курица и крабовые палочки.
127,eat,– Дайте мне 99 пирожных.– Берите уж 100 для ровного счета.– Куда мне? Обожраться что ли!
128,eat,"Дачники в электричке.– Вот у меня выросло яблоко – положил на табуретку – сломалась табуретка, такое большое!– Это что. Я свое яблоко положил на стол – развалился стол!– А у меня выросло яблоко, так я его положил на телегу…– И что – сломалась телега?– Нет, но вылез червяк и сожрал лошадь!"
129,eat,"– Мама, этот неблагодарный опять не хочет есть гречку!– Доченька, а ты расскажи, как ты старалась, когда её варила!– Варила? Так её варить надо?!"
130,eat,"На одесском рынке.– Молодой человек, зачем было забивать такого маленького кролика?! В нём же почти нет мяса!– Я его забил?! Здравствуйте! Он сам умер!"
131,eat,"– Кто оставил на полу салат «Оливье»?– Извините, вырвалось…"
132,eat,"Толстого мужика приговорили к казне на электрическом стуле, а он в него не влезает. Посадили на диету – поправился на 10 кг. Стали давать только хлеб и воду – еще 10 кг прибавил. Оставили одну воду – еще плюс 10 кг.Не выдержали:– Да что ж ты гад, никак не худеешь то?– Мотивации, понимаешь, нет."
133,eat,"– Ты что, ел гороховый суп?– Да! – подпердил муж."
134,eat,"– Я вчера ел свинину с фенхелем.– Да ты что, а говорят, евреи свинину не едят."
135,eat,"– Пойми, я волк-одиночка. Я презираю людей, их идеалы и ценности.– Тебе сладкую вату белую или розовую?– Розовенькую, пожалуйста. Так вот…"
136,eat,"– Дорогой, иди, я кашу приготовила.– Из какой крупы?– Из пельменей!"
137,eat,"Сын-студент приезжает с каникул к родителям. Лезет в холодильник и видит, что там внутри наклеено большое фото голой красотки из ""Плейбоя"".Он с удивлением:– Мам, это что такое там в холодильнике?– Фотография? А, это я наклеила, чтобы поменьше есть. Каждый раз, как только лезу в холодильник за едой, гляжу на фотографию и думаю – вот какую фигуру я бы хотела иметь.– Ну и как, помогает?– И да и нет. Я пять кило потеряла, но твой папаша прибавил десять."
138,eat,"– Ой, соль рассыпалась – это к ссоре…– А может, обойдется?!– Нет, дорогой… Я уже настроилась!"
139,eat,"– Ты свой обед будешь фоткать?– Нет-нет, фоткай, если хочешь.– Спасибо. Фоткать п*здец как хочется. Я с утра только кофе успел сфоткать."
140,eat,"– Я пирожки с черникой люблю, у меня поэтому зрение 100%.– А я с грибами – у меня зрение 150%.– Это как?– Вижу то, чего нет."
141,eat,Разговор по скайпу около 3 часов ночи.– Привет! Чё делаешь?– За колбасой иду.– Не поздновато ли?– А у меня холодильник круглосуточно работает!
142,eat,"– Здравствуйте, доставьте, пожалуйста, три пончика и колу по адресу…– Извините, но это телефон доверия!– Хм. Ну ладно, доставьте мне эти пончики или я покончу жизнь самоубийством!"
143,eat,– Алле! Это вареничная?– Нет! Сливочная?– Сливки что-ли делаете?– Нет г*вно сливаем…
144,eat,"Самолет поднялся в воздух, и вдруг выясняется, что на сто пассажиров взяли только сорок обедов. Стюардесса объявляет:– Каждый, кто любезно откажется от обеда в пользу других пассажиров, будет бесплатно получать выпивку в течение всего полета.Через час стюардесса снова объявляет:– Если кто-нибудь из пассажиров передумал, мы рады сообщить: у нас еще осталось тридцать восемь порций обеда…"
145,eat,– Марин! Чем занимаешься?– Радуюсь жизни.– Жрешь что ли?– Да…
146,eat,"Два соседа встретились у подъезда:– Здорово, Вася! Откуда ты?– Да из гастронома, вот затарился на ужин: пивка взял, колбаски, курочку копчёную да рулон бумаги туалетной…– (с сомнением в голосе) Хм-м… Я как-то такую курочку тоже покупал, так мне одного рулона не хватило…"
